,dU11,dU12,dU21,dU22
0,-0.3877,-0.1912,-0.1912,-0.0967
1,0.699,-0.1455,-0.1455,0.3166
2,0.6379,0.0686,0.0686,-0.3723
3,0.1651,-0.238,-0.238,0.1005
4,-0.185,0.0343,0.0343,0.0756
5,0.7297,0.1303,0.1303,0.661
6,0.2525,0.1164,0.1164,0.3882
7,-0.2112,-0.3098,-0.3098,0.8519
8,-0.4252,0.101,0.101,-0.2467
9,0.515,0.0893,0.0893,0.3131
10,-0.0947,0.0313,0.0313,0.9229
11,0.3993,-0.2398,-0.2398,0.4288
12,-0.0108,-0.0172,-0.0172,0.0889
13,0.8062,-0.0499,-0.0499,0.7719
14,0.1804,0.2896,0.2896,-0.1023
15,0.4235,-0.1876,-0.1876,-0.3453
16,-0.3318,-0.0309,-0.0309,-0.2463
17,0.4918,-0.0427,-0.0427,0.43
18,0.5121,0.3182,0.3182,0.4097
19,0.8832,-0.0679,-0.0679,0.0386
20,0.0548,0.1311,0.1311,0.1171
21,0.9671,0.0311,0.0311,0.7048
22,-0.3481,0.2674,0.2674,0.5199
23,-0.0401,-0.2045,-0.2045,0.212
24,0.1682,-0.1635,-0.1635,-0.1838
25,0.5787,-0.176,-0.176,0.9057
26,0.3484,0.5094,0.5094,0.386
27,0.1271,-0.0088,-0.0088,0.6073
28,-0.1484,0.1263,0.1263,-0.2423
29,0.4284,0.047,0.047,0.681
30,0.3022,0.0561,0.0561,0.0572
31,0.4359,-0.5594,-0.5594,-0.0765
32,-0.4004,-0.0001,-0.0001,-0.4121
33,0.3437,-0.0059,-0.0059,0.3438
34,0.086,0.2642,0.2642,0.6015
35,0.0712,-0.266,-0.266,0.6163
36,0.1539,-0.0054,-0.0054,0.1586
37,0.9116,-0.0023,-0.0023,0.9009
38,0.499,0.1371,0.1371,-0.1865
39,0.2977,-0.3536,-0.3536,0.0148
40,-0.1308,-0.0011,-0.0011,-0.1192
41,0.6261,-0.0058,-0.0058,0.6239
42,0.671,0.6136,0.6136,-0.171
43,0.2548,-0.0033,-0.0033,0.2452
44,-0.2241,0.1523,0.1523,-0.0259
45,0.7773,0.0991,0.0991,0.4727
46,0.0723,0.0376,0.0376,0.4277
47,0.1323,-0.556,-0.556,0.3677
48,-0.1044,-0.2393,-0.2393,-0.1456
49,0.3857,-0.0206,-0.0206,0.8643
50,-0.1401,0.3282,0.3282,0.6401
51,0.0953,-0.1838,-0.1838,0.4047
52,0.1611,0.1484,0.1484,-0.4111
53,0.4766,0.2861,0.2861,0.7734
54,0.3473,0.3072,0.3072,0.1527
55,0.6578,-0.1292,-0.1292,-0.1578
56,-0.2246,-0.0524,-0.0524,-0.2129
57,0.5837,-0.0058,-0.0058,0.4788
58,0.7829,0.2014,0.2014,0.2796
59,0.7985,-0.3339,-0.3339,0.264
60,0.0149,-0.0254,-0.0254,-0.0774
61,0.6933,-0.0462,-0.0462,0.7442
62,-0.121,0.3095,0.3095,0.0585
63,-0.4421,-0.1191,-0.1191,0.3796
64,-0.2952,-0.1285,-0.1285,-0.3766
65,0.2856,-0.0407,-0.0407,0.5425
66,0.2008,0.1106,0.1106,0.6273
67,0.1793,-0.4525,-0.4525,0.6488
68,0.0794,0.034,0.034,-0.0013
69,0.7551,0.0404,0.0404,0.823
70,0.0758,0.4262,0.4262,0.0024
71,0.3601,-0.0276,-0.0276,-0.282
72,-0.0922,-0.1294,-0.1294,-0.0172
73,0.8247,-0.0375,-0.0375,0.5659
74,0.8593,0.2967,0.2967,-0.2187
75,0.3853,-0.1181,-0.1181,0.2553
