,dU11,dU12,dU21,dU22,vol_req,seed
0,0.1659,-0.3066,-0.3066,-0.0495,0.1591,16.0
1,0.8261,0.0334,0.0334,-0.2714,0.3202,32.0
2,0.8049,-0.1164,-0.1164,0.354,0.2635,26.0
3,-0.0593,-0.0235,-0.0235,-0.0192,0.4416,44.0
4,0.2899,-0.1459,-0.1459,0.6454,0.4529,45.0
5,0.3192,0.1552,0.1552,0.4878,0.167,17.0
6,0.6834,0.0855,0.0855,0.6609,0.3352,34.0
7,-0.4448,0.0079,0.0079,-0.387,0.0605,6.0
8,0.1521,-0.6862,-0.6862,0.4272,0.2052,21.0
9,-0.0343,0.0687,0.0687,0.6824,0.4999,50.0
10,0.4524,0.0393,0.0393,0.3257,0.1049,10.0
11,-0.1044,0.0917,0.0917,0.0255,0.3743,37.0
12,0.4052,-0.1571,-0.1571,0.0619,0.2811,28.0
13,0.1364,0.3309,0.3309,-0.1676,0.1147,11.0
14,0.8581,0.1304,0.1304,0.8619,0.3946,39.0
15,-0.1413,-0.0402,-0.0402,0.065,0.2253,23.0
16,0.8105,-0.0148,-0.0148,-0.2175,0.3508,35.0
17,0.6846,0.367,0.367,0.4101,0.0722,7.0
18,0.4855,-0.0324,-0.0324,0.4222,0.4654,47.0
19,0.0395,0.0771,0.0771,-0.3266,0.1835,18.0
20,0.1584,-0.0677,-0.0677,0.2445,0.2471,25.0
21,-0.1255,0.2045,0.2045,0.4657,0.429,43.0
22,0.6357,-0.0327,-0.0327,0.9043,0.1474,15.0
23,-0.2728,-0.1728,-0.1728,-0.3241,0.3046,30.0
24,-0.3519,-0.0555,-0.0555,0.5703,0.411,41.0
25,-0.003,0.6019,0.6019,0.3411,0.2379,24.0
26,0.5692,-0.0338,-0.0338,0.6201,0.2927,29.0
27,0.1719,0.0056,0.0056,0.1907,0.1303,13.0
28,0.6162,-0.4489,-0.4489,0.168,0.0893,9.0
29,0.2617,0.0805,0.0805,0.0785,0.3627,36.0
30,0.4064,0.0714,0.0714,0.8586,0.1927,19.0
31,-0.2507,0.0097,0.0097,-0.2525,0.4834,48.0
32,-0.1804,-0.2834,-0.2834,0.7662,0.3148,31.0
33,0.1758,0.3549,0.3549,0.7092,0.1363,14.0
34,0.2923,-0.04,-0.04,0.3151,0.4189,42.0
35,-0.3107,0.0139,0.0139,-0.0805,0.2581,26.0
36,0.4193,-0.2236,-0.2236,0.3777,0.1864,19.0
37,0.5478,0.1476,0.1476,-0.3848,0.4616,46.0
38,0.6971,0.0262,0.0262,0.7566,0.0692,7.0
39,-0.1751,-0.2448,-0.2448,0.0688,0.3547,35.0
40,0.2998,-0.1593,-0.1593,-0.4579,0.4735,47.0
41,0.5302,0.2815,0.2815,-0.0208,0.2035,20.0
42,0.8091,-0.2145,-0.2145,0.6482,0.3727,37.0
43,0.1512,0.0032,0.0032,-0.0744,0.0784,8.0
44,0.3452,-0.358,-0.358,0.4522,0.1271,13.0
45,0.1097,0.0379,0.0379,0.4223,0.2968,30.0
46,0.8698,0.131,0.131,0.4906,0.241,24.0
47,-0.3449,0.0854,0.0854,-0.2361,0.407,41.0
48,0.0037,-0.2624,-0.2624,0.3749,0.0562,6.0
49,-0.2367,0.3457,0.3457,0.8749,0.3387,34.0
50,0.3821,-0.0373,-0.0373,0.7697,0.1712,17.0
51,0.0577,-0.0712,-0.0712,0.0293,0.4495,45.0
52,0.916,-0.1552,-0.1552,0.1204,0.431,43.0
53,0.1837,0.2653,0.2653,0.1764,0.2733,27.0
54,0.4012,0.2029,0.2029,0.5872,0.3309,33.0
55,-0.4068,-0.0822,-0.0822,-0.2274,0.1492,15.0
56,0.4752,-0.3886,-0.3886,-0.1903,0.2289,23.0
57,0.7106,0.1278,0.1278,0.2142,0.3919,39.0
58,0.5417,0.0021,0.0021,0.6101,0.111,11.0
59,-0.0255,0.3292,0.3292,-0.2572,0.2839,28.0
60,-0.0433,-0.0632,-0.0632,0.4183,0.3857,39.0
61,0.0041,0.2659,0.2659,0.0745,0.0944,9.0
62,0.8614,-0.0096,-0.0096,0.8719,0.4887,49.0
63,-0.0017,-0.1049,-0.1049,-0.2579,0.2156,22.0
64,-0.0108,-0.4475,-0.4475,0.3806,0.3901,39.0
65,0.2939,0.2208,0.2208,0.7474,0.2307,23.0
66,0.3216,-0.0515,-0.0515,0.6008,0.2856,29.0
67,-0.2388,0.193,0.193,-0.221,0.1092,11.0
68,0.358,-0.0114,-0.0114,0.2256,0.0962,10.0
69,0.2621,0.4428,0.4428,0.0567,0.384,38.0
70,0.8278,-0.056,-0.056,0.7516,0.2139,21.0
71,-0.343,-0.1078,-0.1078,-0.0183,0.4904,49.0
72,0.2168,-0.3866,-0.3866,-0.2213,0.344,34.0
73,0.585,0.336,0.336,-0.2882,0.0509,5.0
74,0.7476,-0.0428,-0.0428,0.4568,0.4443,44.0
75,0.1015,0.0057,0.0057,0.1004,0.1765,18.0
76,-0.0109,-0.0388,-0.0388,0.9637,0.268,27.0
77,0.0919,0.2123,0.2123,0.2266,0.4362,44.0
