,dU11,dU12,dU21,dU22
0,-0.1069,0.255,0.255,-0.0405
1,0.4726,-0.0574,-0.0574,0.6202
2,-0.093,0.13,0.13,0.754
3,-0.1875,-0.3669,-0.3669,0.194
4,-0.2247,-0.002,-0.002,0.0911
5,0.6501,0.1316,0.1316,0.9028
6,0.1055,0.2075,0.2075,0.0029
7,0.7764,-0.2184,-0.2184,0.0595
8,-0.0321,-0.0554,-0.0554,-0.0147
9,0.2853,0.0227,0.0227,0.3466
10,0.8257,0.2465,0.2465,-0.4294
11,0.4991,-0.4253,-0.4253,0.1325
12,-0.2959,-0.0014,-0.0014,-0.3264
13,0.7449,-0.1103,-0.1103,0.9277
14,0.3399,0.1476,0.1476,0.4215
15,0.1237,-0.088,-0.088,0.4285
16,0.1599,-0.0104,-0.0104,0.1368
17,0.5598,0.032,0.032,0.5562
18,0.0012,0.3753,0.3753,0.4147
19,-0.3357,-0.173,-0.173,0.8935
20,-0.2397,0.1092,0.1092,-0.3866
21,0.7611,0.005,0.005,0.8142
22,0.3945,0.0821,0.0821,0.0307
23,0.1946,-0.1646,-0.1646,0.0683
24,0.0266,0.0806,0.0806,-0.1427
25,0.5948,-0.2804,-0.2804,0.5766
26,0.7396,0.336,0.336,0.3
27,0.5684,-0.0862,-0.0862,-0.2769
28,-0.118,-0.1702,-0.1702,-0.3869
29,0.7366,0.0218,0.0218,0.3512
30,-0.352,0.1927,0.1927,0.4449
31,0.4009,-0.2239,-0.2239,0.5604
32,0.2154,0.0501,0.0501,-0.0831
33,0.4409,0.047,0.047,0.4871
34,0.2667,0.5456,0.5456,0.1501
35,0.5258,-0.3659,-0.3659,-0.3659
36,-0.2029,-0.0825,-0.0825,-0.2397
37,0.9389,0.0309,0.0309,0.8431
38,0.0802,0.0048,0.0048,0.3251
39,0.1257,-0.2127,-0.2127,0.5159
40,-0.4648,0.0681,0.0681,-0.0894
41,0.5349,-0.1692,-0.1692,0.6901
42,0.3749,0.3946,0.3946,0.5175
43,-0.1537,-0.1335,-0.1335,0.2277
44,-0.173,-0.296,-0.296,0.0054
45,0.4813,0.0429,0.0429,0.639
46,0.6224,0.0282,0.0282,-0.281
47,0.8259,-0.3223,-0.3223,0.2663
48,-0.0012,0.1505,0.1505,-0.1774
49,0.9356,-0.0468,-0.0468,0.5715
50,0.6459,0.1672,0.1672,0.2574
51,0.1007,-0.4228,-0.4228,0.0311
52,-0.0341,-0.0262,-0.0262,-0.1577
53,0.7274,0.2633,0.2633,0.5094
54,-0.2498,0.3196,0.3196,0.2049
55,-0.1051,-0.0673,-0.0673,0.7178
56,0.1056,-0.074,-0.074,0.0143
57,0.2925,-0.027,-0.027,0.5294
58,-0.0403,0.4233,0.4233,0.8092
59,0.3228,-0.5727,-0.5727,0.3303
60,-0.4325,-0.0153,-0.0153,-0.3727
61,0.7143,0.058,0.058,0.7522
62,0.368,0.2215,0.2215,0.0366
63,0.3834,-0.015,-0.015,0.1636
64,0.151,0.0388,0.0388,0.0837
65,0.6178,-0.0052,-0.0052,0.462
66,0.7529,0.228,0.228,-0.0758
67,0.3655,-0.6017,-0.6017,0.0058
68,-0.3472,0.0266,0.0266,-0.2712
69,0.858,0.1601,0.1601,0.7989
70,0.0193,0.1678,0.1678,0.1754
71,0.0014,-0.068,-0.068,0.3791
72,-0.2478,0.0577,0.0577,-0.1432
73,0.3866,-0.0118,-0.0118,0.9586
74,0.2597,0.1851,0.1851,0.8323
75,0.0911,-0.3071,-0.3071,0.2256
76,-0.297,-0.1246,-0.1246,0.0099
77,0.454,0.2224,0.2224,0.5024
78,0.2732,0.4797,0.4797,-0.1989
79,0.7835,-0.1155,-0.1155,0.0866
80,0.1214,0.0385,0.0385,-0.4209
81,0.7115,-0.0537,-0.0537,0.6315
82,0.4353,0.3217,0.3217,0.2254
83,0.2892,-0.1672,-0.1672,-0.3571
